review,age,gender,companion,word,recommend
池袋西口のSHOGUN BARエモすぎて！！抹茶カクテルがガチで神で、写真もバズりそうなくらい映えました！侍のコスプレ体験もできちゃって尊い！！いつもと違うデートに推せます！！,10代,女性,パートナー,超High型,いつもと違うデートに
池袋のエンタメバーで巨大おちょこチャレンジやってきました！めっちゃでかくてビビったけど、日本酒も美味しかったです！二次会に良きだと思います！,10代,男性,友人,Medium型,二次会に
池袋西口のSHOGUN BARで抹茶カクテル飲んできました！苦味と甘さのバランスがマジで絶妙で、写真映えする店内装飾も最高でした！侍のコスプレ体験もできちゃって、めちゃくちゃテンション上がりました！いつもと違うデートに絶対おすすめです！,20代,女性,パートナー,High型,いつもと違うデートに
池袋のSHOGUN BARに行ってみました。山廃仕込みの日本酒はなかなか良くて、アクセス抜群なので悪くないです。日本酒好きには結構おすすめかも。,20代,男性,一人,Low型,日本酒好きに
池袋西口からすぐのSHOGUN BARを予約しました。和モダンな内装がとても素敵で、抹茶カクテルも美味しかったです！写真も映えて、おしゃれなデートができました。いつもと違うデートにおすすめです！,20代,女性,パートナー,Medium型,いつもと違うデートに
池袋で本格的な日本酒を楽しめる場所を見つけました！SHOGUN BARの山廃仕込みの日本酒は本当に素晴らしく、響21年との飲み比べも最高でした！アクセス抜群で、二次会に絶対おすすめです！,30代,男性,同僚,High型,二次会に
池袋西口からアクセス抜群のSHOGUN BARを利用しました。完全予約制で落ち着いて過ごせ、和モダンな内装も洗練されています。山廃仕込みの日本酒の品質も想像以上で、日本酒好きにおすすめです。,30代,女性,一人,Medium型,日本酒好きに
池袋のバーとして大変印象的なSHOGUN BARを訪問いたしました。和文化を体験できる貴重な機会で、日本酒の品質も申し分ありません。誕生日や特別な日におすすめです。,30代,男性,パートナー,Formal型,誕生日や特別な日に
池袋西口からアクセス抜群のこちらで、響21年などのウィスキーを堪能しました！和モダンな内装で大人の時間を過ごすのに格別な雰囲気です！特に山廃仕込みの日本酒は秀逸でした！日本酒好きにおすすめです！,40代,男性,パートナー,High型,日本酒好きに
池袋のSHOGUN BARで和文化を体験できました。完全予約制で落ち着いており、日本酒の説明も丁寧でした。海外在住の娘にも紹介したい、品のある空間です。池袋観光の思い出におすすめです。,40代,女性,家族,Medium型,池袋観光の思い出に
池袋で本格的な日本酒を味わえる格式のあるお店を発見いたしました。武将をテーマに選んだ日本酒は、それぞれに歴史があり大変興味深いものでした。日本酒好きにおすすめです。,40代,男性,友人,Formal型,日本酒好きに
池袋西口のSHOGUN BARで見事な日本酒を味わいました！特に山廃仕込みの複雑な旨味は流石でした。和モダンな内装も味わいがあり、心から満足できました！日本酒好きにおすすめです！,50代,男性,友人,High型,日本酒好きに
池袋のSHOGUN BARで心地よい時間を過ごしました。完全予約制で落ち着いており、和文化を体験できる情緒的な空間でした。ゆっくりと日本酒を味わえる貴重なお店で、池袋観光の思い出におすすめです。,50代,女性,パートナー,Medium型,池袋観光の思い出に
池袋で格調高い雰囲気のSHOGUN BARを利用いたしました。将軍をテーマにした日本酒は趣があり、静かに酒と向き合える貴重な空間です。日本酒好きにおすすめです。,50代,男性,一人,Formal型,日本酒好きに
池袋のSHOGUN BARで真に素晴らしい日本酒を味わいました。響21年から清酒まで、お酒の品揃えが実に見事で、心から感動いたしました。日本酒好きにおすすめです。,60代,男性,友人,High型,日本酒好きに
池袋西口のSHOGUN BARで、静かに日本文化を感じることができました。完全予約制でゆったりと過ごせ、日本酒の奥深さを改めて感じられるお店です。池袋観光の思い出におすすめです。,60代,女性,パートナー,Medium型,池袋観光の思い出に
池袋で奥深い日本酒の世界を体験できる、趣深いお店を見つけました。山廐仕込みの日本酒は含蓄に富み、静寂の中でじっくりと味わえました。日本酒好きにおすすめです。,60代,男性,一人,Formal型,日本酒好きに 
