age_group,personality_type,vocabulary,exclamation_marks,characteristics,example
10代,超High型,エモい/バズる/神/推せる/尊い/ガチで,3-5個,SNS語彙多用/極端な感情表現/省略多用,エモすぎて！！ガチで神カクテルでした！写真もバズりそうで推せます！！
10代,Medium型,すごく/めっちゃ/やばかった/良き,2-3個,素直な感動表現/シンプルな語彙,めっちゃ美味しくて感動しました！雰囲気も良きでした！
20代,High型,めちゃくちゃ/マジで/ヤバい/映える/テンション爆上げ,3-4個,不完全な文/省略表現/感情優先,マジでヤバくて！写真も映えるし、テンション爆上げでした！！
20代,Medium型,とても/すごく/素敵/おしゃれ/雰囲気良い,1-2個,インスタ映え重視/バランス良い表現,とても素敵な空間で、おしゃれなカクテルが楽しめました！
20代,Low型,なかなか/結構/それなりに/悪くない,0-1個,冷静な分析/控えめな評価,なかなか良いバーでした。お酒の種類も結構豊富で悪くないです。
30代,High型,素晴らしい/最高/感動的/満足度高い,2-3個,ポジティブ/社交性重視/コスパ意識,素晴らしいお店でした！満足度がとても高く、また利用したいです！
30代,Medium型,とても/かなり/想像以上/洗練された,0-2個,分析的だが感情も含む/実用性重視,想像以上に落ち着ける空間で、お酒の品揃えも素晴らしかったです。
30代,Formal型,大変/非常に/印象的/品格のある,0-1個,丁寧語/客観的評価/品質重視,大変印象的なお店で、品格のある雰囲気が気に入りました。
40代,High型,格別/秀逸/絶品/感銘/堪能,1-2個,専門性のある表現/こだわりの評価,格別な日本酒を堪能できました！特に山廃仕込みは秀逸でした！
40代,Medium型,品のある/落ち着いた/上質/洗練,0-1個,文化的価値重視/教養のある表現,品のある空間で、上質な時間を過ごすことができました。
40代,Formal型,申し分なく/一級品/格式/風格,0個,格式重視/伝統的価値観,申し分のない品質で、格式のある雰囲気が印象的でした。
50代,High型,見事/お見事/流石/味わい深い,1個,経験に基づく評価/玄人目線,見事な日本酒の品揃えで、味わい深い時間を過ごせました！
50代,Medium型,心地よい/味わいのある/情緒的/風情,0-1個,情緒的価値重視/季節感のある表現,心地よい空間で、味わいのある時間を過ごせました。
50代,Formal型,格調高い/趣のある/品格/風格,0個,伝統重視/格調のある表現,格調高い雰囲気で、趣のある時間を過ごすことができました。
60代以上,High型,真に/実に/誠に/心から,0-1個,深い感動表現/文化的価値重視,真に素晴らしい日本酒で、心から満足できました。
60代以上,Medium型,静かに/じっくりと/ゆっくりと/味わう,0個,内省的/時間をかけた評価,静かにお酒を味わえる、落ち着いた良い空間でした。
60代以上,Formal型,深遠/奥深い/含蓄/趣深い,0個,哲学的/深い洞察のある表現,奥深い日本酒の世界を、趣深い空間で堪能できました。 
