category,type,content
必須要素,商品名,商品名を必ず含める
必須要素,評価理由,なぜその評価なのかを明確に記載
必須要素,具体的体験,実際に使用・体験した内容を含める
推奨表現,感情表現,「嬉しい」「満足」「驚いた」などの感情を含める
推奨表現,比較表現,他の商品との比較や以前の体験との比較
推奨表現,推薦度,「おすすめ」「リピートしたい」などの推薦意向
禁止表現,過度な称賛,「完璧」「最高」「神」などの極端な表現
禁止表現,ネガティブ過多,批判的すぎる内容や攻撃的な表現
禁止表現,宣伝的表現,「絶対買うべき」「今すぐ購入」などの宣伝文句
文体ルール,自然な日本語,機械的でない自然な文章構成
文体ルール,適切な長さ,100-300文字程度の適切な長さ
文体ルール,読みやすさ,改行や句読点を適切に使用
品質基準,信憑性,実体験に基づく具体的な内容
品質基準,バランス,良い点と改善点のバランス
品質基準,有用性,他の購入者に役立つ情報を含む
年代別,20代,「やばい」「めっちゃ」「マジで」などの若者言葉
年代別,30代,「とても」「かなり」「本当に」などの標準的表現
年代別,40代,「非常に」「大変」「実に」などの丁寧な表現
年代別,50代以上,「誠に」「まことに」「たいそう」などの格調高い表現
性別特徴,女性,「可愛い」「素敵」「お気に入り」などの表現
性別特徴,男性,「良い」「優秀」「満足」などの表現
感情表現,喜び,「嬉しい」「楽しい」「満足」「幸せ」
感情表現,驚き,「びっくり」「想像以上」「予想外」「驚いた」
感情表現,安心,「安心」「信頼」「安全」「確実」
感情表現,期待,「楽しみ」「期待」「わくわく」「希望」
購入動機,価格,「コスパ」「お得」「安い」「価格」
購入動機,品質,「品質」「質」「作り」「仕上がり」
購入動機,機能,「機能」「性能」「使いやすさ」「便利」
購入動機,デザイン,「デザイン」「見た目」「外観」「スタイル」
購入動機,評判,「口コミ」「評判」「レビュー」「評価」
使用場面,日常,「普段」「毎日」「日常的」「いつも」
使用場面,特別,「特別」「記念日」「イベント」「お祝い」
使用場面,仕事,「仕事」「オフィス」「会社」「業務」
使用場面,家庭,「家」「家庭」「家族」「自宅」
使用場面,外出,「外出」「お出かけ」「旅行」「外」
改善提案,機能追加,「〜があればもっと良い」「〜機能が欲しい」
改善提案,使いやすさ,「もう少し〜だと使いやすい」「〜が改善されれば」
改善提案,価格,「もう少し安ければ」「価格が下がれば」
改善提案,デザイン,「デザインが〜だともっと良い」「色が〜だと」
総合評価,満足,「満足」「良い買い物」「買って良かった」
総合評価,普通,「普通」「まあまあ」「可もなく不可もなく」
総合評価,不満,「残念」「期待外れ」「改善が必要」
推薦度,強く推薦,「絶対おすすめ」「ぜひ試して」「買うべき」
推薦度,条件付き推薦,「〜な人におすすめ」「〜なら良い」
推薦度,推薦しない,「おすすめしない」「他を検討した方が」 
